Citing_PaperID,Cited_PaperID,CitationDate
339755477,2914677496,2020-12-30
339755477,3033523266,2020-12-30
577282515,2916963898,2019-06-30
949610729,2895680541,2020-01-21
1560611397,1480465235,2019-07-30
1569166697,2940601755,2020-11-13
1573313616,2963629969,2020-12-01
2034662483,1560611397,2020-09-30
2034662483,2992740785,2020-09-30
2034662483,2996499892,2020-09-30
2763062382,3046777013,2019-06-01
2782441912,2742834296,2020-08-01
2788483761,2810029079,2019-01-02
2790065403,2982842224,2020-09-01
2790804685,2793741467,2019-02-01
2792841768,2940866118,2019-03-05
2793065383,2791609985,2019-01-02
2795927927,1565841233,2020-06-01
2796501951,2796523682,2019-01-02
2801379484,3157212600,2019-01-24
2803110131,2915901076,2020-02-06
2810029079,2788483761,2019-02-01
2810795215,2913321850,2019-08-01
2883362974,2896215174,2019-01-01
2884394443,2803972925,2019-05-01
2885460388,2892461382,2019-01-01
2887727312,2886017666,2019-01-01
2888183991,2265352483,2019-01-01
2889473168,2802277576,2019-12-01
2889921737,2805834265,2019-01-02
2889921737,2891930244,2019-01-02
2890202049,2883513919,2019-08-01
2890495808,2911772238,2020-01-01
2890528865,2980172516,2019-01-01
2891176214,2884208221,2020-03-01
2891176214,2890896311,2020-03-01
2891632009,2954045435,2019-03-06
2891893462,2944794762,2019-12-31
2892016026,2920160662,2019-04-12
2892357603,2521709602,2019-05-01
2894309334,1565841233,2019-01-02
2894422885,2892357603,2019-05-01
2895269477,2891930244,2019-01-02
2895271726,2899790132,2020-09-01
2895271726,2905101168,2020-09-01
2895271726,2974030905,2020-09-01
2895680541,2801263766,2019-01-01
2895896450,2521709602,2019-05-01
2895896450,2898119253,2019-05-01
2896110422,1977784628,2019-01-01
2898119253,3083767719,2019-05-01
2898212167,2808312972,2019-01-01
2898227011,56212841,2019-01-02
2898870342,2888023037,2019-07-03
2899204366,2970113378,2019-01-30
2899472901,2997690217,2019-01-01
2899902321,595168094,2019-01-01
2899907695,2894770855,2019-03-15
2899907695,2896571191,2019-03-15
2899941782,2774821280,2019-03-18
2899985752,3103980272,2020-08-28
2900322505,2804356993,2019-08-03
2900335946,2489623071,2019-09-01
2900590387,2981931547,2019-05-09
2900668552,1991615538,2019-02-01
2900989389,2963069204,2019-05-26
2901190692,2762019966,2020-08-01
2901391094,2904992008,2019-06-01
2901782666,3044074148,2019-03-01
2901850572,2900967537,2020-04-02
2901939593,2792066216,2019-01-02
2901939593,2891930244,2019-01-02
2901980429,2792642883,2019-01-17
2902165686,2800276346,2019-07-04
2902183769,3046777013,2019-01-01
2903232768,2763062382,2019-01-01
2903438872,2895858614,2019-07-03
2903438872,2897252088,2019-07-03
2903438872,2899654148,2019-07-03
2903438872,2900327356,2019-07-03
2903597225,1560611397,2019-03-01
2903860884,1499106858,2019-01-01
2904024373,616956975,2019-04-01
2904726545,2805811809,2019-02-01
2905082579,3138044231,2019-05-01
2905095463,2588806042,2019-01-01
2905967851,2803972925,2019-06-01
2905967851,2884394443,2019-06-01
2906699951,601158372,2019-01-10
2906758876,2907184421,2019-01-01
2906883019,2047031466,2019-01-01
2907151745,3088289882,2019-01-10
2907619493,2907184421,2019-01-01
2907834011,2907184421,2019-01-01
2908717955,2982656751,2019-01-14
2909448672,2791738332,2019-01-15
2909791066,2771975035,2019-04-01
2909948005,3033883277,2019-01-01
2910063721,2945418302,2019-01-08
2910145040,3000562549,2020-03-01
2910175990,3082483653,2019-01-01
2910332568,2886386179,2019-01-03
2910646177,2950870183,2019-01-10
2910646177,2954684911,2019-01-10
2910646177,3003289544,2019-01-10
2910646177,3034532053,2019-01-10
2910646177,3083031983,2019-01-10
2910649357,2950660598,2020-01-29
2910788322,2954700389,2019-02-15
2910923324,3003017352,2019-01-17
2911183477,580162675,2019-10-09
2911293725,1565841233,2019-02-05
2911999305,2971325088,2019-02-14
2912129726,3081432867,2019-12-01
2912313484,2938366375,2019-02-04
2912313484,2938595285,2019-02-04
2912313484,2954352495,2019-02-04
2912313484,2999865783,2019-02-04
2912404155,2964242034,2019-02-04
2912708577,2972761708,2019-01-30
2912748598,2946477006,2019-02-07
2913087465,2945972052,2019-01-30
2913111253,1565841233,2019-03-01
2913120562,3091096197,2019-01-01
2913207492,2810652573,2019-07-01
2913229586,2911728843,2019-01-01
2913229586,2921861880,2019-01-01
2913229586,2996822540,2019-01-01
2913295327,2804721069,2019-02-12
2913491080,2784788869,2019-09-01
